         140802 function calls (136090 primitive calls) in 0.230 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
       23    0.000    0.000    0.330    0.014 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1039(CharField)
        6    0.000    0.000    0.001    0.000 __init__.py:104(lazy_number)
        1    0.000    0.000    0.000    0.000 __init__.py:1050(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1056(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1074(PlaceHolder)
        2    0.000    0.000    0.000    0.000 __init__.py:1080(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1086(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1092(CommaSeparatedIntegerField)
        6    0.000    0.000    0.000    0.000 __init__.py:111(NumberAwareString)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1117(DateTimeCheckMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1132(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1148(DateField)
        3    0.000    0.000    0.000    0.000 __init__.py:1183(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1224(Logger)
        4    0.000    0.000    0.000    0.000 __init__.py:1239(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1293(DateTimeField)
        1    0.000    0.000    0.001    0.001 __init__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:140(UserSettingsHolder)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1451(DecimalField)
        6    0.000    0.000    0.001    0.000 __init__.py:152(ungettext_lazy)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1542(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1548(__init__)
